raw_text,source
"淘宝闪购AI应用开发一面：1.Agent项目是否上线部署? 2.是否使用过LangChain等框架? 3.意图识别模块如何实现? 4.项目用到哪些工具? 5.如何提升工具调用正确率? 6.知识库如何构建? 7.RAG项目的分块策略有哪些? 8.知识检索如何提升回答正确率? 9.如何解析知识库中的表格/图片文件? 10.系统是否用到ReAct模式? 11.如何提升模型回答性能? 12.Prompt层面有哪些优化手段? 13.Token与字符的区别 14.LangChain与LangGraph的了解 15.Agent常见模式(ReAct/Plan and Execute等) 16.Lost in the middle问题的解决方案 17.Prompt的常见结构 18.线程池参数 19.进程/线程/协程的区别 20.HashMap原理 21.除自身以外数组的乘积","self_review"
"小红书AI应用开发一面：1.在agent项目中，最核心的产出或创新性最足的部分是什么? 2.是否了解过LangChain、n8n等行业产品?简单讲讲LangChain的特点。 3.对AIAgent方面了解多吗?是否使用过RAG、Skill等能力? 4.对于一个CodingAgent，常见平台能力有哪些?请描述其典型工作方式。 5.Agent调用外部工具的形式有哪些?底层原理是什么? 6.能否讲讲MCP是什么?它的执行流程是怎样的? 7.MCP与Tool Calling有什么区别? 8.Skill这种工具调用形式与前面几种有何不同? 9.请简单讲一下线程池的核心参数及工作原理。 10.为什么线程池要设计核心线程数和最大线程数?分别在什么场景下会使用临时线程?","self_review"
"追觅科技AI应用开发三轮面：1.自我介绍。 2.介绍一个你参与过的AIAgent项目，你主要负责哪些模块? 3.Redis在Agent系统中可以解决哪些问题?如何存储会话状态、短期记忆和任务进度? 4.MySQL的事务隔离级别有哪些?执行设备控制或售后操作时，如何保证数据一致性? 5.Elasticsearch在知识库检索、设备日志查询和异常定位中有哪些应用? 6.Kafka在AI应用中可以承担什么角色?为什么设备事件和Agent任务适合异步处理? 7.RocketMQ事务消息的原理是什么?如何保证业务状态更新与消息发送的最终一致性? 8.介绍一下完整的RAG流程，文档解析、切块、向量化、召回和重排分别怎么做? 9.如何选择Embedding模型?中文、英文和多模态内容需要考虑哪些差异? 10.意图识别是直接交给大模型，还是采用规则、小模型和大模型结合的方式? 11.如何约束模型正确调用工具，并保证参数格式和业务字段准确? 12.如果设备控制接口超时或返回错误","self_review"
"字节AI应用开发一面(7.14)：1.自我介绍 2.项目是网上找的还是什么(老实承认) 3.有实习过吗 4.项目中挑战最大的是什么(答了微调，面试官说没听懂产出) 5.出现幻觉怎么处理(提示词-工具-RAG-微调) 6.提示词具体是怎么做 7.还有其他提示词吗 8.Agent的短期长期记忆是怎么实现的(答的不好) 9.如果让你设计一个Agent要考虑哪些模块(太开放，答得一坨) 10.如果遇到api超时和报错怎么解决 11.有没有考虑用大模型自己排除api超时和报错(说了SKILL) 12.消耗token过快怎么排查(说了SKILL和压缩) 13.讲一下java线程池 14.如果你重新设计一个线程池会怎么设计(答得一坨，以前刷到过没在意) 15.怎么把class文件加载到jvm中(答得一坨) 16.mysql的undolog,redolog,binlog区别和场景(吟唱八股) 17.什么是两阶段提交(吟唱八股) 18.多线程写一个死锁(没写出来) 19.随便写一个单例模式(写的双检查锁) 20.为什么要volatile关键字(吟唱八股) 21.算法：合并两个有序数组(秒了，但被问是不是刷过) 22.反问 总结：项目没亮点被嫌弃，面试官耐心但应该凉了。Agent记忆设计、线程池设计、API超时自愈这三个答得最差","self_review"
